season,team,player_name,gsis_id,snaps,team_snaps,games_played,targets,receptions,rec_yards,rec_tds,air_yards,rush_att,rush_yards,rush_tds,pass_att,pass_yards,pass_tds,fmb,int,standard_fp,ppr_fp,half_ppr_fp
2013,CHI,matt forte,00-0026184,928,1057,16.0,95.0,74.0,594.0,3.0,90.0,289.0,1339.0,9.0,0.0,0.0,0.0,2.0,0.0,261.3,335.3,298.3
2013,PHI,lesean mccoy,00-0027029,872,1103,16.0,64.0,52.0,539.0,2.0,-39.0,314.0,1607.0,9.0,0.0,0.0,0.0,1.0,0.0,278.6,330.6,304.6
2013,KC,jamaal charles,00-0026213,845,1007,15.0,104.0,70.0,693.0,7.0,136.0,259.0,1287.0,12.0,0.0,0.0,0.0,4.0,0.0,304.0,374.0,339.0
2013,TEN,chris johnson,00-0026164,798,1075,16.0,52.0,42.0,345.0,4.0,-43.0,279.0,1077.0,6.0,0.0,0.0,0.0,3.0,0.0,196.2,238.2,217.2
2013,SF,frank gore,00-0023500,744,991,16.0,27.0,16.0,141.0,0.0,168.0,276.0,1128.0,9.0,0.0,0.0,0.0,3.0,0.0,174.9,190.9,182.9
2013,SEA,marshawn lynch,00-0025399,711,1012,16.0,44.0,36.0,316.0,2.0,60.0,301.0,1257.0,12.0,0.0,0.0,0.0,4.0,0.0,233.3,269.3,251.3
2013,DEN,knowshon moreno,00-0026988,703,1207,16.0,74.0,60.0,548.0,3.0,137.0,241.0,1038.0,10.0,0.0,0.0,0.0,2.0,0.0,232.60000000000002,292.6,262.6
2013,BAL,ray rice,00-0026195,703,1073,15.0,72.0,58.0,321.0,0.0,9.0,214.0,660.0,4.0,0.0,0.0,0.0,2.0,0.0,118.1,176.1,147.1
2013,GB,eddie lacy,00-0030485,679,1041,15.0,44.0,35.0,257.0,0.0,-70.0,284.0,1178.0,11.0,0.0,0.0,0.0,1.0,0.0,207.5,242.5,225.0
2013,PIT,le'veon bell,00-0030496,677,876,13.0,66.0,45.0,399.0,0.0,98.0,244.0,860.0,8.0,0.0,0.0,0.0,1.0,0.0,171.9,216.9,194.4
2013,MIN,adrian peterson,00-0025394,674,908,14.0,40.0,29.0,171.0,1.0,14.0,279.0,1266.0,10.0,0.0,0.0,0.0,5.0,0.0,199.70000000000002,228.70000000000002,214.20000000000002
2013,DAL,demarco murray,00-0028009,671,863,14.0,66.0,53.0,350.0,1.0,16.0,217.0,1121.0,9.0,0.0,0.0,0.0,3.0,0.0,201.10000000000002,254.10000000000002,227.60000000000002
