season,team,player_name,gsis_id,snaps,team_snaps,games_played,targets,receptions,rec_yards,rec_tds,air_yards,rush_att,rush_yards,rush_tds,pass_att,pass_yards,pass_tds,fmb,int,standard_fp,ppr_fp,half_ppr_fp
2013,ATL,tony gonzalez,00-0006101,1003,1077,16.0,121.0,83.0,859.0,8.0,964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.9,216.9,175.4
2013,CAR,greg olsen,00-0025418,1000,1029,16.0,111.0,73.0,816.0,6.0,1046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.60000000000001,190.60000000000002,154.10000000000002
2013,DAL,jason witten,00-0022127,984,997,16.0,111.0,73.0,851.0,8.0,911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.10000000000002,206.10000000000002,169.60000000000002
2013,CLE,jordan cameron,00-0028040,969,1041,15.0,118.0,80.0,917.0,7.0,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,131.7,211.7,171.7
2013,SD,antonio gates,00-0021547,968,1110,16.0,114.0,77.0,872.0,4.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,107.2,184.2,145.7
2013,CHI,martellus bennett,00-0026201,952,1057,16.0,94.0,65.0,759.0,5.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,103.9,168.9,136.4
2013,BUF,scott chandler,00-0025516,918,1161,16.0,81.0,53.0,655.0,2.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.5,128.5,102.0
2013,DET,brandon pettigrew,00-0026996,903,990,14.0,63.0,41.0,416.0,2.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.6,92.6,72.1
2013,PIT,heath miller,00-0023465,902,942,14.0,79.0,58.0,593.0,1.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63.30000000000001,121.30000000000001,92.30000000000001
2013,DEN,julius thomas,00-0028067,901,1047,14.0,90.0,65.0,788.0,12.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,148.8,213.8,181.3
2013,CIN,jermaine gresham,00-0027873,891,975,14.0,68.0,46.0,458.0,4.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,63.80000000000001,109.80000000000001,86.80000000000001
2013,MIA,charles clay,00-0028112,855,1027,16.0,102.0,69.0,759.0,6.0,715.0,7.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,119.4,188.4,153.9
2013,NYG,brandon myers,00-0027135,848,1026,16.0,76.0,47.0,522.0,4.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.2,123.2,99.7
2013,PHI,brent celek,00-0025549,844,1103,16.0,51.0,32.0,502.0,6.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,84.2,116.2,100.2
