Player,Team,Value,Value Rank,ADP Rank,Diff in ADP and Value,FantasyPoints
Christian McCaffrey,SF,1.0,1.0,2.0,1.0,270.96000000000004
Austin Ekeler,LAC,0.9789918902174876,2.0,4.0,2.0,261.94000000000005
Travis Kelce,KC,0.9335053731384998,3.0,5.0,2.0,234.19000000000003
Justin Jefferson,MIN,0.926331872237154,4.0,1.0,-3.0,259.5199999999999
Ja'Marr Chase,CIN,0.9147331597408225,5.0,3.0,-2.0,254.54000000000002
Nick Chubb,CLE,0.9138248268344832,6.0,10.0,4.0,233.96
Tony Pollard,DAL,0.91310281862688,7.0,17.0,10.0,233.64999999999998
Josh Jacobs,LV,0.9121711951331988,8.0,22.5,14.5,233.25
Bijan Robinson,ATL,0.9119615798471206,9.0,8.5,-0.5,233.16
Saquon Barkley,NYG,0.9118218363230683,10.0,8.5,-1.5,233.10000000000002
Derrick Henry,TEN,0.9113094434015436,11.0,15.5,4.5,232.87999999999997
Cooper Kupp,LAR,0.9015739778925747,12.0,7.0,-5.0,248.89000000000004
Tyreek Hill,MIA,0.8982201333153219,13.0,6.0,-7.0,247.44999999999996
Jonathan Taylor,IND,0.8751624518467108,14.0,15.5,1.5,217.36000000000004
Patrick Mahomes II,KC,0.8705881804927356,15.0,14.0,-1.0,370.848
Joe Mixon,CIN,0.866451772180791,16.0,37.0,21.0,213.62000000000003
Josh Allen,BUF,0.8646630550729227,17.0,21.0,4.0,368.30400000000003
Jalen Hurts,PHI,0.8635218162931632,18.0,22.5,4.5,367.814
CeeDee Lamb,DAL,0.8623060476339094,19.0,12.0,-7.0,232.03000000000003
Aaron Jones,GB,0.8549462220338272,20.0,39.5,19.5,208.68
Stefon Diggs,BUF,0.8480289175932437,21.0,11.0,-10.0,225.89999999999998
Davante Adams,LV,0.845932764732461,22.0,18.0,-4.0,225.0
Najee Harris,PIT,0.8387592638311153,23.0,26.0,3.0,201.73
Rhamondre Stevenson,NE,0.835568453365257,24.0,25.0,1.0,200.36
Travis Etienne Jr.,JAC,0.8210584174511713,25.0,30.0,5.0,194.13
Alexander Mattison,MIN,0.8142808565346401,26.0,56.0,30.0,191.22
James Conner,ARI,0.808225303825712,27.0,58.0,31.0,188.62000000000003
Amon-Ra St. Brown,DET,0.8054071427573261,28.0,19.0,-9.0,207.60000000000002
A.J. Brown,PHI,0.8049413310104856,29.0,13.0,-16.0,207.40000000000003
Kenneth Walker III,SEA,0.8029383404990706,30.0,39.5,9.5,186.34999999999997
Lamar Jackson,BAL,0.7978004369314186,31.0,32.0,1.0,339.59600000000006
Jahmyr Gibbs,DET,0.7960909078205134,32.0,34.5,2.5,183.41
Dameon Pierce,HOU,0.7931562938154175,33.0,44.0,11.0,182.15000000000003
Breece Hall,NYJ,0.792084926797684,34.0,33.0,-1.0,181.69000000000003
Joe Burrow,CIN,0.7827314269211239,35.0,34.5,-0.5,333.126
Jaylen Waddle,MIA,0.7819535213039003,36.0,24.0,-12.0,197.53
Rachaad White,TB,0.7772022414861258,37.0,72.0,35.0,175.29999999999998
Miles Sanders,CAR,0.775129379212685,38.0,48.0,10.0,174.41
Mark Andrews,BAL,0.7741744651316617,39.0,29.0,-10.0,165.78
Garrett Wilson,NYJ,0.7700986123468063,40.0,20.0,-20.0,192.44
Cam Akers,LAR,0.7666283148328434,41.0,55.0,14.0,170.76
Tee Higgins,CIN,0.7603165656631531,42.0,31.0,-11.0,188.24000000000004
J.K. Dobbins,BAL,0.7590588739466831,43.0,52.0,9.0,167.51
Isiah Pacheco,KC,0.7578943445795816,44.0,73.0,29.0,167.01
Deebo Samuel,SF,0.7541678506048566,45.0,38.0,-7.0,185.6
T.J. Hockenson,MIN,0.7538883635567522,46.0,43.0,-3.0,157.07
Chris Olave,NO,0.7537952012073842,47.0,28.0,-19.0,185.44
DK Metcalf,SEA,0.7518387918706534,48.0,36.0,-12.0,184.6
David Montgomery,DET,0.7505578095668417,49.0,75.0,26.0,163.86
DeVonta Smith,PHI,0.7495097331364503,50.0,27.0,-23.0,183.60000000000002
Amari Cooper,CLE,0.7454804615262788,51.0,42.0,-9.0,181.87
Calvin Ridley,JAC,0.7436870863009424,52.0,41.0,-11.0,181.1
Alvin Kamara,NO,0.7435007616022061,53.0,68.5,15.5,160.83000000000004
Javonte Williams,DEN,0.743500761602206,54.0,65.5,11.5,160.82999999999998
James Cook,BUF,0.7395646523414027,55.0,77.0,22.0,159.14
Christian Watson,GB,0.7388193535464577,56.0,61.5,5.5,179.01
Justin Fields,CHI,0.7365834571616228,57.0,46.5,-10.5,313.31200000000007
Keenan Allen,LAC,0.7346503384122341,58.0,45.0,-13.0,177.22
Jerry Jeudy,DEN,0.7321116643919526,59.0,57.0,-2.0,176.13
Justin Herbert,LAC,0.7260794022703664,60.0,46.5,-13.5,308.802
Terry McLaurin,WAS,0.7243093176323722,61.0,50.0,-11.0,172.78
George Kittle,SF,0.7209787636424616,62.0,49.0,-13.0,142.94000000000003
Mike Williams,LAC,0.7190689354804151,63.0,70.5,7.5,170.53
Mike Evans,TB,0.718393508447496,64.5,79.0,14.5,170.24
Darren Waller,NYG,0.718393508447496,64.5,61.5,-3.0,141.83000000000004
DJ Moore,CHI,0.7171125261436844,66.0,53.0,-13.0,169.69000000000003
DeAndre Hopkins,TEN,0.7148766297588492,67.0,51.0,-16.0,168.73
D'Andre Swift,PHI,0.7141313309639044,68.0,65.5,-2.5,148.22
Chris Godwin,TB,0.710241802877785,69.0,64.0,-5.0,166.73999999999998
Christian Kirk,JAC,0.708774495875237,70.0,74.0,4.0,166.11
Deshaun Watson,CLE,0.7065199670205282,71.0,81.5,10.5,300.404
AJ Dillon,GB,0.6979443727611924,72.0,87.0,15.0,141.27
Drake London,ATL,0.6970360398548532,73.0,59.0,-14.0,161.07000000000002
Tyler Lockett,SEA,0.6961044163611719,74.0,67.0,-7.0,160.67000000000002
Kyle Pitts,ATL,0.6957317669636993,75.0,63.0,-12.0,132.10000000000002
