"Rank","Player","Team","Bye","POS","Yahoo","Fantrax","FFC","AVG"
"1","Christian McCaffrey","CAR","13","RB1","1","1","1","1.0"
"2","Dalvin Cook","MIN","7","RB2","2","2","2","2.0"
"3","Derrick Henry","TEN","13","RB3","3","3","3","3.0"
"4","Alvin Kamara","NO","6","RB4","4","4","4","4.0"
"5","Saquon Barkley","NYG","10","RB5","6","5","6","5.7"
"6","Jonathan Taylor","IND","14","RB6","5","6","8","6.3"
"7","Ezekiel Elliott","DAL","7","RB7","7","8","5","6.7"
"8","Nick Chubb","CLE","13","RB8","8","7","7","7.3"
"9","Tyreek Hill","KC","12","WR1","9","11","9","9.7"
"10","Travis Kelce","KC","12","TE1","12","10","10","10.7"
"11","Aaron Jones","GB","13","RB9","11","12","12","11.7"
"12","Davante Adams","GB","13","WR2","14","9","13","12.0"
"13","Stefon Diggs","BUF","7","WR3","10","13","14","12.3"
"14","Austin Ekeler","LAC","7","RB10","16","14","11","13.7"
"15","Antonio Gibson","WAS","9","RB11","17","17","15","16.3"
"16","DeAndre Hopkins","ARI","12","WR4","18","16","18","17.3"
"17","Patrick Mahomes II","KC","12","QB1","13","19","24","18.7"
"18","Najee Harris","PIT","7","RB12","24","15","17","18.7"
"19","Joe Mixon","CIN","10","RB13","22","20","16","19.3"
"20","D.K. Metcalf","SEA","9","WR5","19","18","21","19.3"
"21","Calvin Ridley","ATL","6","WR6","23","21","20","21.3"
"22","Justin Jefferson","MIN","7","WR7","20","25","25","23.3"
"23","A.J. Brown","TEN","13","WR8","21","23","26","23.3"
"24","J.K. Dobbins","BAL","8","RB14","25","27","22","24.7"
"25","Clyde Edwards-Helaire","KC","12","RB15","26","30","19","25.0"
"26","George Kittle","SF","6","TE2","27","22","28","25.7"
"27","Darren Waller","LV","8","TE3","31","24","23","26.0"
"28","Josh Jacobs","LV","8","RB16","37","26","27","30.0"
"29","Keenan Allen","LAC","7","WR9","34","28","31","31.0"
"30","Miles Sanders","PHI","14","RB17","30","29","35","31.3"
"31","D'Andre Swift","DET","9","RB18","33","31","33","32.3"
"32","Josh Allen","BUF","7","QB2","28","33","37","32.7"
"33","Terry McLaurin","WAS","9","WR10","29","35","34","32.7"
"34","David Montgomery","CHI","10","RB19","35","32","32","33.0"
"35","Chris Carson","SEA","9","RB20","38","34","30","34.0"
"36","Allen Robinson II","CHI","10","WR11","32","37","36","35.0"
"37","Mike Evans","TB","9","WR12","36","36","42","38.0"
"38","Michael Thomas","NO","6","WR13","43","43","29","38.3"
"39","Julio Jones","TEN","13","WR14","40","38","41","39.7"
"40","CeeDee Lamb","DAL","7","WR15","45","39","38","40.7"
"41","Kyler Murray","ARI","12","QB3","41","40","43","41.3"
"42","Chris Godwin","TB","9","WR16","39","44","47","43.3"
"43","Amari Cooper","DAL","7","WR17","44","45","44","44.3"
"44","Myles Gaskin","MIA","14","RB21","48","49","39","45.3"
"45","Adam Thielen","MIN","7","WR18","49","42","51","47.3"
"46","Lamar Jackson","BAL","8","QB4","42","51","50","47.7"
"47","Robert Woods","LAR","11","WR19","47","47","49","47.7"
"48","James Robinson","JAC","7","RB22","64","41","40","48.3"
"49","Kareem Hunt","CLE","13","RB23","56","46","45","49.0"
"50","Kyle Pitts","ATL","6","TE4","52","55","46","51.0"
"51","Dak Prescott","DAL","7","QB5","51","48","55","51.3"
"52","Mark Andrews","BAL","8","TE5","46","56","53","51.7"
