"Rank","Player","Team","Bye","POS","ESPN","RTSports","Fantrax","FFC","AVG"
"1","Christian McCaffrey","CAR","13","RB1","1","1","1","1","1.0"
"2","Dalvin Cook","MIN","7","RB2","2","2","2","2","2.0"
"3","Alvin Kamara","NO","6","RB3","3","3","3","4","3.4"
"4","Derrick Henry","TEN","13","RB4","4","4","4","3","3.6"
"5","Saquon Barkley","NYG","10","RB5","6","6","5","7","5.8"
"6","Jonathan Taylor","IND","14","RB6","10","7","6","8","7.4"
"7","Ezekiel Elliott","DAL","7","RB7","8","5","7","5","7.6"
"8","Travis Kelce","KC","12","TE1","5","8","9","9","7.8"
"9","Nick Chubb","CLE","13","RB8","12","10","8","6","9.0"
"10","Tyreek Hill","KC","12","WR1","7","9","11","10","9.4"
"11","Austin Ekeler","LAC","7","RB9","14","11","12","11","11.0"
"12","Davante Adams","GB","13","WR2","9","12","10","13","11.2"
"13","Aaron Jones","GB","13","RB10","13","13","13","14","12.8"
"14","Stefon Diggs","BUF","7","WR3","11","14","14","12","13.2"
"15","Najee Harris","PIT","7","RB11","20","16","15","15","16.4"
"16","DeAndre Hopkins","ARI","12","WR4","15","17","16","17","16.6"
"17","Antonio Gibson","WAS","9","RB12","18","18","19","16","18.2"
"18","D.K. Metcalf","SEA","9","WR5","16","20","17","21","19.4"
"19","Calvin Ridley","ATL","6","WR6","19","19","18","20","20.0"
"20","Joe Mixon","CIN","10","RB13","22","15","20","18","20.6"
"21","Patrick Mahomes II","KC","12","QB1","17","24","24","22","21.2"
"22","Justin Jefferson","MIN","7","WR7","21","22","26","24","22.0"
"23","A.J. Brown","TEN","13","WR8","23","26","23","26","22.4"
"24","Darren Waller","LV","8","TE2","25","21","22","23","22.6"
"25","Clyde Edwards-Helaire","KC","12","RB14","24","23","27","19","23.8"
"26","George Kittle","SF","6","TE3","26","29","21","28","25.0"
"27","D'Andre Swift","DET","9","RB15","30","27","25","31","29.0"
"28","Keenan Allen","LAC","7","WR9","29","31","29","27","30.0"
"29","J.K. Dobbins","BAL","8","RB16","35","28","30","25","30.6"
"30","Terry McLaurin","WAS","9","WR10","28","30","35","32","31.6"
"31","David Montgomery","CHI","10","RB17","41","25","31","30","32.6"
"32","Allen Robinson II","CHI","10","WR11","32","34","34","36","32.6"
"33","Josh Allen","BUF","7","QB2","27","37","33","38","33.0"
"34","Miles Sanders","PHI","14","RB18","31","33","32","33","34.0"
"35","Chris Carson","SEA","9","RB19","34","35","36","29","36.0"
"36","Josh Jacobs","LV","8","RB20","37","36","28","34","37.4"
"37","CeeDee Lamb","DAL","7","WR12","40","39","41","35","38.4"
"38","Mike Evans","TB","9","WR13","33","43","37","43","38.8"
"39","Julio Jones","TEN","13","WR14","39","49","38","39","39.2"
"40","Michael Thomas","NO","6","WR15","57","38","40","37","40.2"
"41","Amari Cooper","DAL","7","WR16","38","42","39","44","41.4"
"42","Robert Woods","LAR","11","WR17","42","40","44","45","42.6"
"43","Kyler Murray","ARI","12","QB3","36","44","48","46","42.8"
"44","Chris Godwin","TB","9","WR18","51","41","42","49","45.2"
"45","Lamar Jackson","BAL","8","QB4","45","51","49","51","47.0"
"46","Kyle Pitts","ATL","6","TE4","46","48","55","40","47.4"
"47","Myles Gaskin","MIA","14","RB21","49","46","46","41","48.8"
"48","Mark Andrews","BAL","8","TE5","44","56","50","54","50.2"
"49","Dak Prescott","DAL","7","QB5","47","50","57","53","50.4"
"50","Adam Thielen","MIN","7","WR19","43","58","45","52","51.0"
"51","Kareem Hunt","CLE","13","RB22","62","54","47","48","53.4"
"52","Diontae Johnson","PIT","7","WR20","52","57","51","55","53.6"
"53","Mike Davis","ATL","6","RB23","74","45","60","42","54.0"
"54","Cooper Kupp","LAR","11","WR21","55","47","53","50","54.0"
"55","Tyler Lockett","SEA","9","WR22","48","53","52","62","54.8"
"56","D.J. Moore","CAR","13","WR23","53","59","54","59","58.6"
"57","T.J. Hockenson","DET","9","TE6","56","60","61","58","58.6"
"58","James Robinson","JAC","7","RB24","75","62","43","47","60.6"
"59","Justin Herbert","LAC","7","QB6","59","65","69","60","60.8"
"60","Russell Wilson","SEA","9","QB7","54","66","71","68","62.6"
"61","Kenny Golladay","NYG","10","WR24","60","52","56","66","62.8"
"62","Brandon Aiyuk","SF","6","WR25","64","64","62","69","63.8"
"63","Ja'Marr Chase","CIN","10","WR26","58","67","58","65","64.2"
"64","Javonte Williams","DEN","11","RB25","79","61","59","63","69.8"
"65","Chase Edmonds","ARI","12","RB26","68","63","67","61","70.2"
"66","Odell Beckham Jr.","CLE","13","WR27","65","74","70","70","70.2"
"67","Aaron Rodgers","GB","13","QB8","61","80","79","73","70.8"
"68","Chase Claypool","PIT","7","WR28","72","78","74","75","72.4"
"69","Tee Higgins","CIN","10","WR29","73","70","65","72","75.2"
"70","JuJu Smith-Schuster","PIT","7","WR30","67","69","76","88","76.2"
"71","Tom Brady","TB","9","QB9","71","85","91","82","76.8"
"72","Raheem Mostert","SF","6","RB27","90","76","64","56","77.6"
"73","DeVonta Smith","PHI","14","WR31","86","79","66","80","78.0"
"74","Courtland Sutton","DEN","11","WR32","69","68","78","81","78.8"
"75","Dallas Goedert","PHI","14","TE7","76","83","98","76","79.4"
"76","Melvin Gordon III","DEN","11","RB28","113","71","63","71","82.4"
"77","D.J. Chark Jr.","JAC","7","WR33","87","77","75","85","85.4"
"78","Noah Fant","DEN","11","TE8","93","92","83","87","85.8"
"79","Darrell Henderson","LAR","11","RB29","50","99","68","64","86.2"
"80","Leonard Fournette","TB","9","RB30","95","89","85","78","87.2"
"81","David Johnson","HOU","10","RB31","103","75","80","86","88.6"
"82","Robby Anderson","CAR","13","WR34","77","87","84","93","89.8"
"83","Matthew Stafford","LAR","11","QB10","109","90","99","84","90.6"
"84","Michael Carter","NYJ","6","RB32","137","73","72","74","90.6"
"85","Logan Thomas","WAS","9","TE9","70","84","96","79","93.0"
"86","Brandin Cooks","HOU","10","WR35","82","100","87","106","94.0"
"87","Will Fuller V","MIA","14","WR36","83","102","82","109","95.2"
"88","Jerry Jeudy","DEN","11","WR37","84","96","89","91","96.0"
"89","Ryan Tannehill","TEN","13","QB11","85","91","100","100","97.8"
"90","Ronald Jones II","TB","9","RB33","117","82","77","83","98.0"
"91","Tyler Boyd","CIN","10","WR38","89","98","81","103","98.6"
"92","Deebo Samuel","SF","6","WR39","96","86","86","92","98.6"
"93","Pittsburgh Steelers","DST","7","DST1","80","127","112","110","99.6"
"94","Jalen Hurts","PHI","14","QB12","104","94","88","99","99.8"
"95","Damien Harris","NE","14","RB34","94","81","93","67","100.0"
"96","Zack Moss","BUF","7","RB35","122","88","113","89","100.6"
"97","Joe Burrow","CIN","10","QB13","101","95","97","105","100.6"
"98","James Conner","ARI","12","RB36","118","93","95","90","103.0"
"99","Kenyan Drake","LV","8","RB37","111","105","90","94","103.4"
"100","Trey Sermon","SF","6","RB38","134","72","114","77","104.2"
"101","Curtis Samuel","WAS","9","WR40","98","101","104","115","104.8"
"102","Los Angeles Rams","DST","11","DST2","108","131","109","117","106.2"
"103","Antonio Brown","TB","9","WR41","110","103","110","97","108.2"
"104","Michael Pittman Jr.","IND","14","WR42","142","104","115","95","108.4"
"105","Jarvis Landry","CLE","13","WR43","100","112","94","112","108.8"
"106","Robert Tonyan","GB","13","TE10","92","97","127","124","111.0"
"107","Marquise Brown","BAL","8","WR44","107","109","101","127","112.0"
"108","Travis Etienne","JAC","7","RB39","","55","73","57","58.8"
